State,Provider Name,Address,City,Zip,Phone
CA,ELIXIR HOME HEALTH CARE                           ,"1420 W KETTLEMAN LANE, SUITE S2                                                                     ",LODI                ,95242,2093695110
CA,"OPTIMAL HEALTH CARE, INC                          ","5530 CORBIN AVE, #125                                                                               ",TARZANA             ,91356,8186092663
CA,"REVIVE HOME HEALTH CARE, INC                      ","1918 W MAGNOLIA BLVD, SUITE 200                                                                     ",BURBANK             ,91506,9099496566
CA,"ALTA HOME HEALTH, INC                             ","17620 SHERMAN WAY, SUITE 219                                                                        ",VAN NUYS            ,91406,8187571159
CA,"AMERICAN STELLAR HOME HEALTH SERVICES, INC        ","2700 NORTH MAIN ST, 10TH FLOOR, SUITE 1000                                                          ",SANTA ANA           ,92705,7149480124
CA,"GLORY HOME HEALTH, INC                            ",5085 WEST PICO BLVD                                                                                 ,LOS ANGELES         ,90019,6265895289
CA,KAISER FOUNDATION HOSP HOME HEALTH - SAN FRANCISCO,4131 GEARY BLVD                                                                                     ,SAN FRANCISCO       ,94118,4158332770
CA,GATEWAY HOME HEALTH CORP                          ,"3018 WILLOW PASS ROAD, SUITE 210                                                                    ",CONCORD             ,94519,9253224455
CA,"ABUNDANT HOME HEALTH CARE, INC,                   ","6314 VAN NUYS BLVD, SUITE 200                                                                       ",VAN NUYS            ,91401,8187822826
CA,"HIGH QUALITY HOME HEALTH CARE, INC                ","11755 VICTORY BLVD, SUITE 210                                                                       ",N HOLLYWOOD         ,91606,8189807300
CA,"HEALTH QUEST HOMECARE, INC                        ","6257 FOOTHILL BLVD, SUITE C                                                                         ",TUJUNGA             ,91402,8182753684
CA,HARMONY HOME HEALTH                               ,"295 89TH STREET, SUITE 307                                                                          ",DALY CITY           ,94015,6507314566
CA,"MAXIM HEALTHCARE SERVICES, INC                    ",1 RIDGEGATE DR SUITE 130                                                                            ,TEMECULA            ,92590,9516940100
CA,"MEMORIALCARE HOME HEALTH, LLC                     ","23521 PASEO DE VALENCIA, STE 100                                                                    ",LAGUNA HILLS        ,92653,9494601500
CA,"MAXIM HEALTHCARE SERVICES, INC                    ","34250 GATEWAY DRIVE, STE 100                                                                        ",PALM DESERT         ,92211,7604693169
CA,"NURSECARE HOME HEALTH, INC                        ","21000 DEVONSHIRE STREET, SUITE #102C                                                                ",CHATSWORTH          ,91311,2134401674
CA,"LM HOME HEALTH CARE SERVICES, INC                 ","17777 VENTURA BLVD, SUITE 240                                                                       ",ENCINO              ,91316,8186696026
CA,"ADVANCE SPECIALTY CARE SOUTH, INC.                ","12437 LEWIS ST., SUITE 201                                                                          ",GARDEN GROVE        ,92840,7142761115
CA,"ALAPHIA CARE HOME HEALTH SERVICES, INC.           ","10630 TOWN CENTER DRIVE, SUITE 116                                                                  ",RANCHO CUCAMONGA    ,91730,9094580578
CA,CALIFORNIA HOME HEALTH L.L.C.                     ,"61 AIRPORT BLVD., SUITE D                                                                           ",SOUTH SAN FRANCISCO ,94080,6502638300
CA,LOMA LINDA UNIV MED CTR HHA                       ,11265 MT VIEW AVE STE H14                                                                           ,LOMA LINDA          ,92354,9095583096
CA,BONITA SPRINGS HOME HEALTH LLC                    ,"8545 MONTEREY ROAD, SUITE A                                                                         ",GILROY              ,95020,4083378117
CA,"CANNETO HOME HEALTH, INC                          ","50 WEST LEMON AVENUE,  SUITE #11                                                                    ",MONROVIA            ,91016,6263570200
CA,"FIRST TOUCH HOME HEALTH CARE, INC                 ","12062 VALLEY VIEW STREET, SUITE #224A                                                               ",GARDEN GROVE        ,92845,6572273867
CA,WISE HEALTHCARE SERVICES INC.                     ,"171 SOUTH ANITA DRIVE, SUITE 200-E                                                                  ",ORANGE              ,92868,7144675444
CA,"SHIELD HOME CARE, INC                             ","6454 VAN NUYS BLVD, SUITE 150 #9                                                                    ",VAN NUYS            ,91401,8187863000
CA,"PREMIUM CARE SERVICES, INC                        ","5301 LAUREL CANYON BLVD, SUITE 201                                                                  ",VALLEY VILLAGE      ,91607,8183584334
CA,SAINT AGNES HOME HEALTH AND HOSPICE               ,6729 NORTH WILLOW AVE SUITE 103                                                                     ,FRESNO              ,93710,5594505112
CA,PACIFIC POINT HOME HEALTH & PALLIATIVE CARE       ,"5938 PRIESTLY DRIVE, SUITE 102B                                                                     ",CARLSBAD            ,92008,7606038400
CA,"MISSION HOME HEALTH OF IRVINE, INC.               ","2860 MICHELLE DRIVE, SUITE 130                                                                      ",IRVINE              ,92606,9493879950
CA,"ZION NURSING SERVICES, INC                        ","224 EAST OLIVE AVE, SUITE 214                                                                       ",BURBANK             ,91502,8187365358
CA,HARMONY HOME HEALTH                               ,"140 GREGORY LANE, SUITE 270                                                                         ",PLEASANT HILL       ,94523,9254786009
CA,"INSPIRED LIFE HOME HEALTH, INC.                   ","357 W 2ND STREET, SUITE 5                                                                           ",SAN BERNARDINO      ,92401,9090000000
CA,ALLIANCE HOME HEALTH                              ,6717 MISSION STREET SUITE D-2                                                                       ,DALY CITY           ,94014,6502852503
CA,ST JOSEPH'S MEDICAL CENTER HOME HEALTH            ,"509 W WEBER AVE, SUITE 200                                                                          ",STOCKTON            ,95203,2094736700
CA,"GUARDIAN ANGEL HOME CARE, INC                     ","1451 RIVER PARK DRIVE, SUITE 225                                                                    ",SACRAMENTO          ,95815,9169201720
CA,ROYAL HOME HEALTH SERVICES                        ,"22661 LAMBERT ST, SUITE 202                                                                         ",LAKE FOREST         ,92630,9497705050
CA,"OASIS HOME HEALTH CARE, INC                       ","7502 FOOTHILL BLVD, SUITE 101                                                                       ",TUJUNGA             ,91042,8183530100
CA,LAKEWOOD HOME HEALTH & PALLIATIVE CARE INC        ,"539 N GLENOAKS BLVD, SUITE 301F                                                                     ",BURBANK             ,91502,6264143358
CA,BELLE VIE HOME HEALTH INC                         ,1220 GREENFIELD DRIVE                                                                               ,EL CAJON            ,92021,6199382223
CA,DESIRE HOME HEALTH                                ,10759 MAGNOLIA AVENUE                                                                               ,RIVERSIDE           ,92505,9513768018
CA,INHOME HEALTHCARE SERVICES                        ,5105 E DAKOTA AVE                                                                                   ,FRESNO              ,93727,5592480131
CA,"AGAPECARE HOME HEALTH, INC                        ","5701 LONETREE BLVD, SUITE 103                                                                       ",ROCKLIN             ,95765,9165801730
CA,"VALDE HOME HEALTH, INC                            ",12241 INDUSTRIAL BLVD                                                                               ,VICTORVILLE         ,92395,7609137770
CA,"ANGELCARE HOME HEALTH SERVICES, LLC               ","4450 ENTERPRISE STREET, SUITE 101                                                                   ",FREMONT             ,94538,6463619817
CA,PROFESSIONAL CARE HOME HEALTH                     ,"5500 VAN NUYS BLVD, SUITE B                                                                         ",SHERMAN OAKS        ,91401,3102834449
CA,"KEY TO HEALTH HOMECARE, INC                       ","9608 VAN NUYS BLVD, SUITE 202                                                                       ",PANORAMA CITY       ,91402,3238442060
CA,"PROACTIVE HOME HEALTH SERVICES, INC               ","8001 LAUREL CANYON BLVD, SUITE 202                                                                  ",N HOLLYWOOD         ,91605,8185048377
CA,"VISTA HOME HEALTH CARE, INC                       ","7200 VINELAND AVE, SUITE 204B                                                                       ",SUN VALLEY          ,91352,4243342299
CA,"A & G HOME HEALTH CARE, INC                       ","6005 VINELAND AVENUE, SUITE 206                                                                     ",NORTH HOLLYWOOD     ,91606,8187611702
CA,"YOUR CHOICE HOME HEALTH, INC                      ","2828 MILLS PARK DRIVE, SUITE A                                                                      ",RANCHO CORDOVA      ,95670,9164766037
CA,OAKS HOME HEALTH                                  ,"3625 EAST THOUSAND OAKS BLVD, SUITE #263                                                            ",WESTLAKE VILLAGE    ,91362,8183970440
CA,ACCENTCARE HOME HEALTH AT UC SAN DIEGO LLC        ,"5060 SHOREHAM PLACE, SUITE 220                                                                      ",SAN DIEGO           ,92122,8584957347
CA,"CENTRAL COAST VNA & HOSPICE, INC                  ",5 LOWER RAGSDALE DRIVE                                                                              ,MONTEREY            ,93942,8313726668
CA,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE     ,"2800 LEAVENWORTH STREET, SUITE 350A                                                                 ",SAN FRANCISCO       ,94133,4157494200
CA,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE     ,"5099 COMMERCIAL CIRCLE, SUITE 205-A                                                                 ",CONCORD             ,94520,9256774240
CA,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE     ,"2880 SOQUEL AVENUE, SUITE 10                                                                        ",SANTA CRUZ          ,95062,8314796625
CA,VNA HOSPICE AND PALLIATIVE CARE OF SOUTHERN CA    ,150 W FIRST ST STE 270                                                                              ,CLAREMONT           ,91711,9096243574
CA,VNA CALIFORNIA                                    ,6235 RIVER CREST DR STE L                                                                           ,RIVERSIDE           ,92507,9514131200
CA,"VNA OF GREATER LOS ANGELES, INC                   ","3452 E FOOTHILL BLVD, STE 110                                                                       ",PASADENA            ,91107,6265682588
CA,MARSHALL HOME CARE                                ,"681 MAIN STREET, SUITE 206                                                                          ",PLACERVILLE         ,95667,5306262900
CA,VNA OF ORANGE COUNTY LLC                          ,"2520 RED HILL AVE, SUITE 100                                                                        ",SANTA ANA           ,92705,9492634700
CA,SUTTER VISITING NURSE ASSOCIATION                 ,"100 ROWLAND WAY, SUITE 215                                                                          ",NOVATO              ,94945,4152097700
CA,GENTIVA HEALTH SERVICES                           ,1260 N DUTTON AVE STE 150                                                                           ,SANTA ROSA          ,95401,7075457114
CA,KINDRED AT HOME                                   ,"12419 LEWIS STREET, SUITE 104                                                                       ",GARDEN GROVE        ,92840,7146632703
CA,ADVENTIST HEALTH HOME CARE SERVICES               ,27 WOODLAND ROAD                                                                                    ,SAINT HELENA        ,94574,7079675770
CA,GENTIVA HEALTH SERVICES                           ,2525 CAMINO DEL RIO S STE 22O                                                                       ,SAN DIEGO           ,92108,6192999900
CA,VISITING NURSE AND HOSPICE CARE OF SANTA BARBARA  ,"512 EAST GUTIERREZ STREET, SUITE B                                                                  ",SANTA BARBARA       ,93103,8059655555
CA,PRESBYTERIAN INTERCOMMUNITY HOSPITAL HOME HEALTH  ,15050 IMPERIAL HWY                                                                                  ,LA MIRADA           ,90638,5629027763
CA,PATHWAYS HOME HEALTH AND HOSPICE                  ,585 NORTH MARY AVENUE                                                                               ,SUNNYVALE           ,94085,4087305900
CA,INTERIM HEALTHCARE - HOME HEALTH                  ,"7920 ALTA SUNRISE DRIVE, SUITE 240                                                                  ",CITRUS HEIGHTS      ,95610,9164868181
CA,TAHOE FOREST HHS                                  ,10985 SPRING LANE                                                                                   ,TRUCKEE             ,96161,5305823244
CA,GENTIVA HEALTH SERVICES                           ,3220 S HIGUERA ST STE 101                                                                           ,SAN LUIS OBISPO     ,93401,8055444402
CA,ST. ELIZABETH COMM HOSP HHA                       ,1425 VISTA WAY                                                                                      ,RED BLUFF           ,96080,5302454040
CA,JOHN C FREMONT H C DIST HHA                       ,"5108 HIGHWAY 140, STE C                                                                             ",MARIPOSA            ,95338,2099663800
CA,OXFORD HEALTH CARE                                ,280 ATLANTIC AVE                                                                                    ,LONG BEACH          ,90802,5624326441
CA,COMMUNITY HOME CARE                               ,"1630 E SHAW, SUITE 172                                                                              ",FRESNO              ,93710,5594591615
CA,ANGELES HOME HEALTH                               ,"3699 WILSHIRE BLVD, SUITE 720                                                                       ",LOS ANGELES         ,90010,2134875131
CA,KAWEAH DELTA HOME HEALTH                          ,403 WEST MAIN STREET                                                                                ,VISALIA             ,93291,5596246400
CA,ST JOSEPH HOME CARE - HUMBOLDT COUNTY             ,2127 HARRISON AVE #3                                                                                ,EUREKA              ,95501,7074439332
CA,INTERIM HEALTHCARE                                ,"950 S BASCOM AVENUE, SUITE 2007                                                                     ",SAN JOSE            ,95128,4082925680
CA,WOODLAND HEALTHCARE HOME HEALTH                   ,1207 FAIRCHILD COURT                                                                                ,WOODLAND            ,95695,5304062900
CA,JOHN MUIR HOME HEALTH SERVICES                    ,2298 PIKE COURT                                                                                     ,CONCORD             ,94520,9256742560
CA,ADVENTIST HEALTH HOME CARE SERVICES               ,800 S. LOWER SACRAMENTO RD.                                                                         ,LODI                ,95242,2093333131
CA,PREMIER HEALTHCARE SERVICES                       ,"1601 RESPONSE ROAD, SUITE 250                                                                       ",SACRAMENTO          ,95815,9169230881
CA,COUNTRY HOME CARE                                 ,9370 WEST STOCKTON BLVD #130                                                                        ,ELK GROVE           ,95758,9166914100
CA,KAISER FOUNDATION HOSPITAL HOME HEALTH  SANTA ROSA,"3550 ROUND BARN BLVD, SUITE 112                                                                     ",SANTA ROSA          ,95403,7075665488
CA,ESKATON HOME HEALTHCARE                           ,"9722 FAIR OAKS BLVD, SUITE A & E                                                                    ",FAIR OAKS           ,95628,9165363750
CA,MANAGED HOMECARE INC                              ,"3120 CHICAGO AVENUE, SUITE 130                                                                      ",RIVERSIDE           ,92507,9513410782
CA,UNI CARE HOME CARE INC                            ,"630 SOUTH BRAWLEY AVENUE, SUITE 5                                                                   ",BRAWLEY             ,92227,7603449180
CA,"LIVINGSTONE HOME HEALTH SERVICES, INC             ","6301 BEACH BLVD, SUITE 212                                                                          ",BUENA PARK          ,90621,7149946329
CA,HOLISTIC APPROACH INC                             ,"4505 PRECISSI LANE,  SUITE B                                                                        ",STOCKTON            ,95207,2099567050
CA,SUTTER COAST HOME CARE                            ,"785 E WASHINGTON BLVD, SUITE 14 & 15                                                                ",CRESCENT CITY       ,95531,7074648511
CA,COMMUNITY HOME HEALTH                             ,348 WEST HOSPITALITY LANE SUITE 200                                                                 ,SAN BERNARDINO      ,92408,9098876391
CA,A C  HOME HEALTH AGENCY                           ,5601 W SLAUSON AVE SUITE 235                                                                        ,CULVER CITY         ,90230,3232945189
CA,ACCREDITED HOME HEALTH SERVICES                   ,5955 DESOTO AVENUE SUITE 160                                                                        ,WOODLAND HILLS      ,91367,8189861234
CA,RELIANCE HOME HEALTH SERVICES                     ,16660 PARAMOUNT BLVD STE 304                                                                        ,PARAMOUNT           ,90723,5626308783
CA,FREMONT-RIDEOUT HOME HEALTH                       ,939 LIVE OAK BLVD                                                                                   ,YUBA CITY           ,95991,5306737100
CA,KINDRED AT HOME                                   ,"395 TAYLOR BLVD, SUITE 118                                                                          ",PLEASANT HILL       ,94523,9252466000
CA,PARAMOUNT HOME CARE                               ,3400 W BALL ROAD STE 209                                                                            ,ANAHEIM             ,92804,7149941250
CA,COSMOPOLITAN HEALTHCARE INC                       ,"21860 BURBANK BLVD, STE 180                                                                         ",WOODLAND HILLS      ,91367,8188883385
CA,ADVENTIST HEALTH HOME CARE SERVICES               ,440 GREENFIELD AVENUE SUITE C                                                                       ,HANFORD             ,93230,5595853425
CA,TOTAL CARE NURSING SERVICES                       ,3450 WILSHIRE BLVD SUITE 1003                                                                       ,LOS ANGELES         ,90010,2133801399
CA,REDLANDS COMMUNITY HOSP H C                       ,350 TERRACINA BLVD                                                                                  ,REDLANDS            ,92373,9093355647
CA,ERA HOME HEALTH SERVICES CORPORATION              ,270 W BADILLO ST                                                                                    ,COVINA              ,91723,6263322581
CA,PRIME NURSING SERVICES                            ,3250 WILSHIRE BLVD STE  1008                                                                        ,LOS ANGELES         ,90010,2133809991
CA,TRI-CITY HOME CARE                                ,2095 W VISTA WAY # 220                                                                              ,VISTA               ,92083,7609405800
CA,PALOMAR HOME HEALTH SERVICES                      ,800 WEST VALLEY PARKWAY SUITE 200                                                                   ,ESCONDIDO           ,92025,4422813800
CA,"ACCENTCARE HOME HEALTH OF CALIFORNIA, INC         ","3170 CROW CANYON PLACE, SUITE 270                                                                   ",SAN RAMON           ,94583,9256590059
CA,MAD RIVER COMM HOSP H C SRVS                      ,4605 VALLEY WEST BLVD                                                                               ,ARCATA              ,95521,7078268420
CA,ADVENTIST HEALTH/HOME CARE SERVICES               ,2650 JONES WAY STE 26                                                                               ,SIMI VALLEY         ,93065,8059558190
CA,SHARP HOME HEALTH                                 ,8080 DAGGET STREET SUITE 200                                                                        ,SAN DIEGO           ,92111,8585414850
CA,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE     ,"3001 LAVA RIDGE COURT, SUITE 330A                                                                   ",ROSEVILLE           ,95661,9167977979
CA,"ACCENTCARE HOME HEALTH OF CALIFORNIA, INC         ","5050  MURPHY CANYON ROAD, SUITE 200                                                                 ",SAN DIEGO           ,92123,8007657595
CA,PEC HEALTHCARE                                    ,10507 GARDEN GROVE BLVD                                                                             ,GARDEN GROVE        ,92843,7146892300
CA,INTERIM HEALTHCARE OF THE CENTRAL VALLEY          ,"1843 E FIR AVENUE, STE 101                                                                          ",FRESNO              ,93720,5592240560
CA,ETHICAL HOME HEALTH CARE                          ,550 NORTH EUCLID AVENUE                                                                             ,UPLAND              ,91786,9099469000
CA,SELF-HELP HOMECARE & HOSPICE                      ,"731 SANSOME STREET, SUITE 100                                                                       ",SAN FRANCISCO       ,94111,4156777600
CA,COVENANT CARE AT HOME                             ,125 NORTH BROADWAY SUITE 1B                                                                         ,TURLOCK             ,95380,2092505200
CA,"ACCENTCARE HOME HEALTH OF CALIFORNIA, INC         ","3636 BIRCH STREET, SUITE 195                                                                        ",NEWPORT BEACH       ,92660,9492500133
CA,ST. JOSEPH HEALTH SYSTEM HOME HEALTH AGENCY       ,"200 W CENTER STREET PROMENADE, SUITE 200C                                                           ",ANAHEIM             ,92805,7147129500
CA,SCRIPPS HOME HEALTH CARE SERVICES                 ,4311 THIRD AVE SUITE B                                                                              ,SAN DIEGO           ,92103,6194527000
CA,ADVENTIST HEALTH HOME CARE SERVICES               ,"6626 CLARK ROAD, STE P                                                                              ",PARADISE            ,95969,5308723378
CA,MERCY HOME CARE                                   ,1544 MARKET STREET                                                                                  ,REDDING             ,96001,5302454040
CA,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE     ,889 11TH STREET                                                                                     ,LAKEPORT            ,95453,7072637400
CA,PROVIDENCE HOME CARE                              ,"3413 PACIFIC AVENUE, SUITE 201                                                                      ",BURBANK             ,91505,8188435111
CA,MERCY HOME HEALTH                                 ,"9912 BUSINESS PARK DRIVE, SUITE 100                                                                 ",SACRAMENTO          ,95827,9162813900
CA,ADVENTIST HEALTH HOME CARE SERVICES               ,281 HARVEY DRIVE UNIT A                                                                             ,GLENDALE            ,91206,8184098379
CA,LIBERTANA HOME HEALTH OF SHERMAN OAKS             ,5805 SEPULVEDA BLVD SUITE 605                                                                       ,VAN NUYS            ,91411,8189025000
CA,TRINITY HOME HEALTH SERVICES                      ,60 EASTER AVENUE                                                                                    ,WEAVERVILLE         ,96093,5306236700
CA,"USA HOME HEALTH, INC                              ","1415 E COLORADO STREET, SUITE 206                                                                   ",GLENDALE            ,91205,8182445112
CA,CITRUS VALLEY HOME HEALTH                         ,820 N PHILLIPS AVE                                                                                  ,WEST COVINA         ,91791,6268592266
CA,AMERICADE HOME HEALTH AGENCY                      ,420 N MONTEBELLO BLVD SUITE 203                                                                     ,MONTEBELLO          ,90640,3232781283
CA,MENDOCINO COAST HOME HEALTH                       ,700 RIVER DRIVE                                                                                     ,FORT BRAGG          ,95437,7079611234
CA,"GENUS HOME CARE, INC                              ",1476 W 9TH STREET SUITE B1                                                                          ,UPLAND              ,91786,9099811821
CA,BETTER HEALTH HOME CARE                           ,"1661 HANOVER RD., SUITE 221B                                                                        ",CITY OF INDUSTRY    ,91748,6265813182
CA,SIERRA NEVADA HOME CARE                           ,1345 WHISPERING PINES LANE                                                                          ,GRASS VALLEY        ,95945,5302746350
CA,"ACCENTCARE HOME HEALTH OF CALIFORNIA, INC         ","9221 CORBIN AVE, STE 160                                                                            ",NORTHRIDGE          ,91324,8184809300
CA,HI DESERT HOME HEALTH SERVICES                    ,63484 CHICKSAW ROAD                                                                                 ,JOSHUA TREE         ,92252,7603666424
CA,HEALTH AT HOME                                    ,"375 LAGUNA HONDA BLVD, UNIT F5                                                                      ",SAN FRANCISCO       ,94116,4157594700
CA,INLAND EMPIRE HOME HEALTH                         ,"27851 BRADLEY ROAD, SUITE #125                                                                      ",SUN CITY            ,92586,9516724829
CA,ANTELOPE VALLEY HOME CARE                         ,44335 LOWTREE AVENUE                                                                                ,LANCASTER           ,93534,6619495938
CA,TORRANCE MEMORIAL HOME HEALTH                     ,23326 HAWTHORNE BLVD SUITE 100 A                                                                    ,TORRANCE            ,90505,3107843739
CA,ALL MED HOME HEALTH SRVS                          ,16661 VENTURA BLVD STE 503                                                                          ,ENCINO              ,91436,8189862356
CA,GLENDALE HOME HEALTH CARE                         ,914 N GLENDALE AVE                                                                                  ,GLENDALE            ,91206,8185022121
CA,KAISER FOUNDATION TRI CENTRAL HHA                 ,12200 BELLFLOWER BLVD                                                                               ,DOWNEY              ,90242,5626224350
CA,KAISER FOUNDATION HOSPITAL VALLEY CONTINUING CARE ,10605 BALBOA BLVD SUITE 330                                                                         ,GRANADA HILLS       ,91344,8188327200
CA,KAISER FOUNDATION HOSPITAL SAN DIEGO HHA          ,"10992 SAN DIEGO MISSION ROAD, BLDG 2, SUITE 3601                                                    ",SAN DIEGO           ,92108,6196414663
CA,KAISER FOUNDATION HOSPITAL ANAHEIM HHA            ,17542 E 17TH STREET                                                                                 ,TUSTIN              ,92780,7147344500
CA,"EXCELLENT IN-HOME CARE, INC                       ",16601 VENTURA BLVD SUITE 506                                                                        ,ENCINO              ,91436,8187554900
CA,JOLA HOME HEALTH AGENCY                           ,323 N PRAIRIE AVE  SUITE 425                                                                        ,INGLEWOOD           ,90301,3104120011
CA,ASSISTED HOME CARE                                ,"4450 WESTINGHOUSE STREET, SUITE #101                                                                ",VENTURA             ,93003,8056772100
CA,"CHARTER HEALTH CARE GROUP, LLC                    ","970 S VILLAGE OAKS DR, SUITE 102                                                                    ",COVINA              ,91724,6269157490
CA,"WESTERN HOME CARE, INC                            ","6131 ORANGETHORPE AVENUE, SUITE 480                                                                 ",BUENA PARK          ,90620,7145221204
CA,"VISITING HOME NURSES, INC                         ",8273 WHITE OAK AVENUE SUITE 110                                                                     ,RANCHO CUCAMONGA    ,91730,9094847881
CA,IMMACULATE HEART OF MARY HH                       ,10066 E ROSECRANS AVE                                                                               ,BELLFLOWER          ,90706,5629209868
